total_reward,mean_reward,loss,mae,mean_q
436.7707542146839,0.4820869251817703,0.110442, 0.948965, 1.406028
562.7877223685239,0.5309318135552112,0.109232, 0.989861, 1.478972
538.2478501232597,0.5831504335029899,0.111316, 1.044191, 1.564172
430.0263348873428,0.41428355962171753,0.111048, 1.145038, 1.646804
273.9000443071691,0.3016520311752963,0.112021, 1.162054, 1.623002
465.9301456078257,0.4167532608298978,0.108491, 1.110358, 1.626073
391.7876616593293,0.4001916870881811,0.107326, 1.065256, 1.604552
554.7240385747259,0.5643174349692024,0.107574, 1.029194, 1.585172
513.1989032950181,0.56769790187502,0.106909, 1.016432, 1.576176
537.9818861352945,0.5569170663926445,0.108603, 1.037889, 1.625054
334.9120965800932,0.33126814696349477,0.106499, 1.034499, 1.623381
525.1264663492152,0.5458695076395168,0.103971, 1.043621, 1.682042
441.0450744260869,0.43797921988687877,0.102173, 1.069862, 1.730197
387.1195195266774,0.3272354349337932,0.104978, 1.082822, 1.709196
454.4717422669246,0.38579944165273733,0.106017, 1.076505, 1.633423
186.58297677883627,0.19828159062575587,0.102422, 1.016732, 1.538543
457.6750466693862,0.40288296361741743,0.100290, 0.973301, 1.476416
495.8406745616254,0.4487245923634619,0.100411, 0.938027, 1.415891
448.03321854837327,0.3947429238311659,0.102773, 0.918540, 1.414254
515.2338369021718,0.5339210745100226,0.106526, 0.915254, 1.409619
247.68166348279289,0.22075014570658902,0.110892, 0.934488, 1.423537
469.48955410542874,0.4880348795274727,0.108897, 0.919365, 1.424030
445.87485762849815,0.4673740646001029,0.108886, 0.926930, 1.442265
540.5992235901124,0.5720626704657273,0.108822, 0.936913, 1.471700
455.2995614995241,0.4131574968235246,0.108975, 0.958652, 1.523278
539.3077704701659,0.5939512890640594,0.112251, 0.993838, 1.535465
199.286840741719,0.1948062959352092,0.110848, 0.993634, 1.544504
478.10657331805726,0.41902416592292485,0.110154, 1.000026, 1.562029
536.2681737376421,0.49931859752108204,0.111470, 1.007955, 1.546222
544.3250140813825,0.5159478806458602,0.109674, 1.004115, 1.538477
505.8358692951509,0.43909363654092964,0.106998, 1.010179, 1.548118
190.55031921862007,0.19424089624731913,0.104823, 0.994412, 1.524661
466.4359275912908,0.48435714183934664,0.104229, 0.975579, 1.522663
